1|Jūrmalas gatve|78D
2|Latviešu strēlnieku laukums|1
3|Kārļa Ulmaņa gatve|88
4|Kārļa Ulmaņa gatve|88A
5|Lielirbes iela|1
6|Lielirbes iela|29
7|Krasta iela|46
8|Ziemeļu iela|24
9|Ciema iela|3
10|Slokas iela|12A
11|Vienības gatve|113
12|Priedaines iela|13
13|Cēsu iela|12
14|Jaunmoku iela|13
15|Kārļa Ulmaņa gatve|96
17|Augusta Deglava iela|11
18|Augusta Deglava iela|26
19|Valmieras iela|47
20|Valmieras iela|49
21|Valmieras iela|43
22|Narvas iela|2
23|Valmieras iela|26
24|Valmieras iela|24
25|Valmieras iela|39
26|Valmieras iela|22
27|Valmieras iela|37
28|Valmieras iela|20
29|Valmieras iela|18
30|Valmieras iela|16
31|Valmieras iela|13
32|Kurbada iela|1
33|Ģertrūdes iela|51
34|Prāgas iela|1
36|Dammes iela|26
37|Kronvalda bulvāris|3
38|Krišjāņa Barona iela|1
39|Kaļķu iela|1
40|Kronvalda bulvāris|3A
41|Dammes iela|22
42|Dammes iela|32
43|Rostokas iela|7
44|Zolitūdes iela|34 k-1
45|Zolitūdes iela|34
46|Klostera iela|2
49|Riharda Vāgnera iela|7
50|Riharda Vāgnera iela|3
51|Riharda Vāgnera iela|6
52|Riharda Vāgnera iela|8
53|Gleznotāju iela|7
54|Riharda Vāgnera iela|12
55|Vaļņu iela|23
56|Kalēju iela|4
57|Kalēju iela|6
58|Kalēju iela|10
59|Gleznotāju iela|4
60|Riharda Vāgnera iela|2
61|Vaļņu iela|19
62|Vaļņu iela|21
63|Reformācijas laukums|1
64|Skārņu iela|18
65|Skārņu iela|4
66|Skārņu iela|6
67|Skārņu iela|8
68|Aspazijas bulvāris|20
69|Skārņu iela|20
70|Skārņu iela|22
71|Vaļņu iela|30
72|Aspazijas bulvāris|32
73|Audēju iela|10
74|Audēju iela|8
75|Audēju iela|6
76|Audēju iela|4
77|Audēju iela|2
78|Audēju iela|5
79|Audēju iela|1
80|Audēju iela|3
81|13. janvāra iela|3
82|Aspazijas bulvāris|34
83|Aspazijas bulvāris|36
84|Aspazijas bulvāris|38
85|Vaļņu iela|35
86|Vaļņu iela|45
87|Vaļņu iela|41
88|Vaļņu iela|43
89|Vaļņu iela|37
90|Vaļņu iela|39
91|Vaļņu iela|47
92|Vaļņu iela|31/33
93|Skārņu iela|7
94|Skārņu iela|9
95|Herdera laukums|6
97|Slokas iela|146
98|Kungu iela|1
99|Tirgoņu iela|5/7
100|Tirgoņu iela|4
101|Mazā Monētu iela|3
102|Tirgoņu iela|8
103|Tirgoņu iela|12
104|Tirgoņu iela|10
105|Šķūņu iela|16
106|Mazā Jauniela|4
107|Jauniela|24
108|Krāmu iela|2
109|Jauniela|29A
110|Krāmu iela|4
111|Jauniela|25/27
112|Palasta iela|8
113|Jauniela|26
114|Maisa iela|2
115|Tirgoņu iela|17
116|Tirgoņu iela|11
121|Kaļķu iela|10
122|Kaļķu iela|8
123|Kaļķu iela|12
125|Jāņa sēta|4
127|Jāņa sēta|7
129|Teātra iela|9
130|Vaļņu iela|28
131|Kaļķu iela|20
132|Vaļņu iela|26
133|Aspazijas bulvāris|24
135|Krišjāņa Valdemāra iela|2A
136|Torņa iela|1
137|Jāņa iela|3
138|Jāņa iela|5
139|Jāņa iela|7
140|Jāņa iela|16
141|Jāņa iela|18
142|Mārstaļu iela|2/4
143|Mārstaļu iela|6
144|Mārstaļu iela|8
145|Grēcinieku iela|1
146|Skārņu iela|25
148|Jāņa iela|6
149|Jāņa iela|8
150|Jāņa iela|10
151|Jāņa iela|12
152|Jāņa iela|14
153|Kalēju iela|21
154|Kalēju iela|23
155|Centrāltirgus iela|1
156|Ģimnastikas iela|6A
